"","Site","Lat","Lon","Alt","MAT","MAP","PfPCQ","pCO2","Source","notes","mat.wc","map.wc","hqt.offset","hqp.frac","dqt.offset","dqp.frac"
"34","Stavropol",45.03,41.98,350,9,550,NA,NA,"Kovda et al. (2014)","lat/lon estimated",9.22100007534027,549,11.1550000111262,0.358834244080146,-11.206333398819,0.14936247723133
"35","GM-1",36.98,-117.1,1830,11.6,NA,NA,NA,"Quade et al. (1989)",NA,9.57566653688749,214,9.95366657773654,0.219626168224299,0.829666664203007,0.210280373831776
"36","GM-2",36.985,-117.07,1575,13.2,NA,NA,NA,"Quade et al. (1989)",NA,11.1500001053015,174,10.2606666783492,0.235632183908046,0.623333444197973,0.21264367816092
"37","GM-3",37.01,-116.74,1160,15.9,NA,NA,NA,"Quade et al. (1989)",NA,14.2386666933695,123,10.3253337542216,0.260162601626016,0.413333257039389,0.203252032520325
"38","GM-4",36.96,-117.23,900,17.6,NA,NA,NA,"Quade et al. (1989)","lat/lon estimated, loc not shown in paper",11.8153331677119,173,9.82733269532522,0.23121387283237,-2.08999995390574,0.208092485549133
"39","GM-5",36.94,-117.26,610,19.5,NA,NA,NA,"Quade et al. (1989)","lat/lon estimated, loc not shown in paper",17.3616667985916,95,10.439666946729,0.231578947368421,0.419666488965351,0.2
"40","PaM-1",36.21,-116.97,300,21.5,NA,NA,NA,"Quade et al. (1989)","lat/lon estimated, loc not shown in paper",17.6343332529068,114,10.3003330628077,0.201754385964912,0.709666927655537,0.184210526315789
"41","PaM-3",36.2,-117.05,2165,9.4,NA,NA,NA,"Quade et al. (1989)","lat/lon estimated, loc not shown in paper",9.20399984965722,321,9.33733303099871,0.152647975077882,9.33733303099871,0.152647975077882
"42","PaM-4",36.2,-117.07,2400,7.9,NA,NA,NA,"Quade et al. (1989)","lat/lon estimated, loc not shown in paper",9.20399984965722,321,9.33733303099871,0.152647975077882,9.33733303099871,0.152647975077882
"43","PiVM-1",37.35,-113.31,1675,12.6,NA,NA,NA,"Quade et al. (1989)","lat/lon estimated, loc not shown in paper",11.9746668338776,417,10.2640003363291,0.18705035971223,10.2640003363291,0.18705035971223
"44","PiVM-2",37.36,-113.33,2130,9.6,NA,NA,NA,"Quade et al. (1989)","lat/lon estimated, loc not shown in paper",11.9746668338776,417,10.2640003363291,0.18705035971223,10.2640003363291,0.18705035971223
"45","MAD",31.78135,-110.886266666667,1105,18.2,446,NA,NA,"Quade et al. (2013)",NA,18.0986666679382,478,8.38399998346965,0.441422594142259,-1.46266635258992,0.096234309623431
"46","HUACH",31.4549833333333,-110.3732,1910,11,700,NA,NA,"Quade et al. (2013)",NA,12.0806668996811,680,7.42733379205068,0.429411764705882,-1.55800012747447,0.0970588235294118
"47","CC1",38.8174666666667,-116.502233333333,2235,6.3,312,NA,NA,"Quade et al. (2013)",NA,5.99933323760827,283,9.57799989481767,0.261484098939929,-8.33933327098687,0.215547703180212
