SiteID,Latitude,Longitude,Elevation,d18O,nyrs
isomap_0676000,46.17378583,8.7885560510000005,379.0,-8.4663609782420348,41.0
isomap_0679201,46.491433669999999,9.8981808880000006,1724.0,-13.193907890379228,20.0
isomap_0699001,47.119999999999997,9.4900000000000002,450.0,-10.803295745703881,2.0
isomap_0711001,48.359999999999999,-4.5700000000000003,80.0,-5.2389087860030026,6.0
isomap_0724901,47.833185,1.9404330000000001,109.0,-6.6364404033742037,14.0
isomap_0748501,46.372222219999998,6.4708333329999999,385.0,-9.5272135194360885,38.0
isomap_0753001,44.738055559999999,-0.77472222199999996,59.0,-5.751128562839094,8.0
isomap_0758801,44.133333329999999,6.3333333329999997,851.0,-8.2596626300182123,8.0
isomap_0760301,43.683333330000004,-1.066666667,9.0,-5.4420871069623038,5.0
isomap_0762101,43.119999999999997,0.38,600.0,-7.2002646626228826,1.0
isomap_0763001,43.558333330000004,1.4694444440000001,156.0,-6.509630432549053,1.0
isomap_0764301,43.57,3.9500000000000002,45.0,-4.7422072531347137,1.0
isomap_0764501,43.950000000000003,4.8200000000000003,30.0,-6.3501710049081996,14.0
isomap_0764601,44.950000000000003,5.7800000000000002,99.0,-5.0263703564326914,2.0
isomap_0765301,43.450000000000003,5.4500000000000002,215.0,-5.6069834355091661,1.0
isomap_0769001,43.732388890000003,7.4235833329999998,2.0,-4.7873367411583558,14.0
isomap_0778701,42.479999999999997,9.1999999999999993,200.0,-6.7175584368771348,1.0
isomap_0800101,43.366666670000001,-8.4166666669999994,57.0,-5.3684222464854416,11.0
isomap_0802301,43.483333330000001,-3.7999999999999998,52.0,-5.652745536092981,11.0
isomap_0805500,42.583333330000002,-5.6500000000000004,913.0,-8.6957229520923285,11.0
isomap_0814101,41.633333329999999,-4.766666667,735.0,-7.8981439718609225,10.0
isomap_0814800,41.766666669999999,-2.4666666670000001,1083.0,-8.8844871804916234,1.0
isomap_0816001,41.669627779999999,-1.0247361109999999,247.0,-6.4257453451765878,11.0
isomap_0818001,41.380000000000003,2.1200000000000001,65.0,-5.5046387759093154,8.0
isomap_0818002,41.380000000000003,2.1200000000000001,190.0,-5.5624438490782664,1.0
isomap_0818201,41.778700000000001,2.5047000000000001,604.0,-6.4563489529741602,4.0
isomap_0818400,41.899999999999999,2.75,129.0,-6.1184427843310827,8.0
isomap_0822201,40.409999999999997,-3.6800000000000002,655.0,-6.9863035181497999,13.0
isomap_0823801,40.812633329999997,0.51611111099999996,48.0,-5.3004169274031989,11.0
isomap_0824500,39.466666670000002,-0.383333333,13.0,-5.3136422724569208,11.0
isomap_0826100,39.466666670000002,-6.3333333329999997,405.0,-6.3582021959224964,11.0
isomap_0830101,39.549999999999997,2.6166666670000001,3.0,-5.6876125601508454,11.0
isomap_0834801,38.983333330000001,-3.9166666669999999,682.0,-7.4133347273448615,11.0
isomap_0839700,37.149999999999999,-5.6166666669999996,88.0,-4.8383117373512423,10.0
isomap_0843000,38.0,-1.1666666670000001,62.0,-5.2968056804628016,8.0
isomap_0848700,36.850000000000001,-2.3833333329999999,21.0,-5.284995436951748,10.0
isomap_0849500,36.149999999999999,-5.3499999999999996,5.0,-4.5700011387698307,31.0
isomap_0851200,37.770000000000003,-25.649999999999999,175.0,-3.9393765055881267,21.0
isomap_0851301,38.66038889,-27.22009444,74.0,-4.1119723979775991,2.0
isomap_0851311,38.729999999999997,-27.309999999999999,1020.0,-4.1747717181607555,2.0
isomap_0852200,32.633333329999999,-16.899999999999999,58.0,-3.1342773327350359,16.0
isomap_0853501,38.79273611,-9.1057333329999999,12.0,-4.6371596681430711,1.0
isomap_0854600,41.133333329999999,-8.5999999999999996,93.0,-4.6430864888538883,12.0
isomap_0855400,37.009999999999998,-7.96,9.0,-4.4721224659761587,12.0
isomap_0856200,38.016666669999999,-7.8666666669999996,246.0,-5.7260421061626365,2.0
isomap_0856600,41.316666669999996,-7.733333333,481.0,-6.4846001469842207,2.0
isomap_0856800,40.416666669999998,-7.5499999999999998,1380.0,-7.6510309900523854,15.0
isomap_0857100,39.283333329999998,-7.4166666670000003,597.0,-5.8794397446874473,15.0
isomap_0857500,41.799999999999997,-6.733333333,690.0,-7.5618572057815756,2.0
isomap_10000,63.723199999999999,-148.9676,661.0,-19.468374160267434,5.0
isomap_10001,33.069499999999998,-109.85883,1173.0,-5.0065748606454328,6.0
isomap_10004,31.950330000000001,-112.8,506.0,-6.92452376363482,1.0
isomap_10005,39.002830000000003,-123.08417,253.0,-7.8093743555408777,5.0
isomap_10006,37.790999999999997,-119.85483000000001,1408.0,-7.949751338021728,1.0
isomap_10007,40.053170000000001,-105.58633,3520.0,-14.013020235754055,6.0
isomap_10008,40.5045,-107.70117,1998.0,-13.253168875498162,5.0
isomap_10009,37.468600000000002,-106.7903,3292.0,-13.873511095423366,3.0
isomap_10010,37.192169999999997,-108.4875,2172.0,-11.987748302351138,5.0
isomap_10011,25.387329999999999,-80.674670000000006,2.0,-2.1809094410117829,6.0
isomap_10012,30.542169999999999,-84.600499999999997,60.0,-3.5034547316583429,4.0
isomap_10013,28.5428,-80.644400000000005,2.0,-2.5069551662252172,1.0
isomap_10014,33.17333,-84.403670000000005,270.0,-6.5655656853731799,3.0
isomap_10015,40.957830000000001,-93.388829999999999,320.0,-6.7878647732559827,3.0
isomap_10016,43.456829999999997,-113.55283,1807.0,-15.315037567193485,4.0
isomap_10017,44.292000000000002,-116.05817,1442.0,-15.173619786563634,5.0
isomap_10018,37.434669999999997,-88.669830000000005,161.0,-4.7908111368323238,3.0
isomap_10019,40.933329999999998,-90.720500000000001,229.0,-7.1255693789862953,3.0
isomap_10020,38.737830000000002,-87.484669999999994,134.0,-5.5637681669326113,3.0
isomap_10021,39.101329999999997,-96.605500000000006,350.0,-6.6174662634573416,6.0
isomap_10022,38.669670000000004,-100.90983,863.0,-8.5526951686446182,6.0
isomap_10023,37.704700000000003,-85.048900000000003,293.0,-6.8980056633200535,3.0
isomap_10024,30.806830000000001,-90.175169999999994,48.0,-4.0695679365443604,5.0
isomap_10025,41.972169999999998,-70.021500000000003,41.0,-7.0206649786171704,4.0
isomap_10026,42.383899999999997,-71.214699999999993,18.0,-7.8852171767827119,5.0
isomap_10027,38.907829999999997,-76.151499999999999,6.0,-6.3928916468112815,3.0
isomap_10028,45.5565,-84.673670000000001,238.0,-11.457796168948915,3.0
isomap_10029,47.525329999999997,-93.467830000000006,431.0,-11.451889634765154,5.0
isomap_10030,44.235669999999999,-95.300330000000002,343.0,-7.8020319813883505,5.0
isomap_10031,34.0015,-89.799999999999997,134.0,-4.9928893761747819,5.0
isomap_10032,45.567830000000001,-107.43583,957.0,-14.869749119079833,1.0
isomap_10033,48.510300000000001,-113.9958,980.0,-15.958295246870094,2.0
isomap_10034,45.691699999999997,-113.96559999999999,2414.0,-16.901295007402023,3.0
isomap_10035,35.022170000000003,-78.273669999999996,41.0,-4.6399502849111345,3.0
isomap_1003500,54.527500000000003,9.5486000000000004,43.0,-7.8382728237255002,16.0
isomap_10036,47.601399999999998,-103.2642,611.0,-11.258886600294261,3.0
isomap_10037,48.77617,-97.752499999999998,306.0,-10.497935941776909,5.0
isomap_10038,41.055500000000002,-100.74117,919.0,-8.8780289708532596,4.0
isomap_10040,33.218829999999997,-108.23417000000001,1772.0,-7.9943649984205711,4.0
isomap_10041,32.909399999999998,-105.4706,2009.0,-8.0319842864883437,5.0
isomap_10042,36.774000000000001,-103.9755,2205.0,-8.8906304554124986,5.0
isomap_10044,38.792830000000002,-119.254,1501.0,-14.48815053154561,1.0
isomap_10046,42.733669999999996,-76.655829999999995,249.0,-9.5633399692334891,4.0
isomap_10047,42.292999999999999,-79.391170000000002,488.0,-10.441633669643386,3.0
isomap_10048,41.350499999999997,-74.042500000000004,201.0,-7.6968958445957734,4.0
isomap_10049,39.7928,-81.531099999999995,276.0,-8.0916482728760943,3.0
isomap_10050,36.803170000000001,-98.200329999999994,345.0,-6.1472829405911442,6.0
isomap_10051,34.974670000000003,-97.519499999999994,331.0,-5.7816649223219718,6.0
isomap_10052,36.587829999999997,-101.61717,999.0,-6.7492533490743227,6.0
isomap_10053,44.38467,-123.60917000000001,104.0,-7.9831749714243694,4.0
isomap_10054,44.207999999999998,-122.252,436.0,-9.8588808523678466,5.0
isomap_10055,45.221330000000002,-118.50682999999999,1253.0,-14.248488424953431,5.0
isomap_1005500,54.528300000000002,11.0603,3.0,-7.9810527726784191,16.0
isomap_10057,33.536999999999999,-80.434330000000003,24.0,-4.3637392750309916,2.0
isomap_10058,43.942830000000001,-101.855,733.0,-9.3306841833437471,3.0
isomap_10059,44.353000000000002,-98.28783,398.0,-7.7062348579462316,4.0
isomap_10060,35.956829999999997,-84.285669999999996,341.0,-5.9543710659590339,2.0
isomap_10061,28.466670000000001,-97.704170000000005,82.0,-3.8349915091422004,5.0
isomap_10062,29.656829999999999,-96.255669999999995,54.0,-3.3875159470020342,6.0
isomap_10063,33.388330000000003,-97.637169999999998,312.0,-4.9060869158870544,3.0
isomap_10064,41.655000000000001,-111.89149999999999,1370.0,-14.484555728662547,3.0
isomap_10065,37.617829999999998,-112.17033000000001,2477.0,-12.049424468058788,5.0
isomap_10066,38.039700000000003,-78.541899999999998,172.0,-7.2878750338813951,3.0
isomap_10067,44.523670000000003,-72.867999999999995,399.0,-10.023206233018445,5.0
isomap_10068,47.856000000000002,-123.92583,176.0,-9.5205777565968859,4.0
isomap_10069,46.756329999999998,-117.18416999999999,766.0,-13.293351477025922,4.0
isomap_10070,46.051670000000001,-89.651830000000004,501.0,-10.051575254125204,5.0
isomap_10071,42.574170000000002,-88.500330000000005,288.0,-7.2798605855562295,6.0
isomap_10072,37.979999999999997,-80.950000000000003,753.0,-9.430487677476215,4.0
isomap_10073,42.923999999999999,-109.78533,2388.0,-16.001592827420886,2.0
isomap_10074,44.917000000000002,-110.41883,1912.0,-16.412278998461613,3.0
isomap_10075,41.364699999999999,-106.24079999999999,3212.0,-17.611976302933435,2.0
isomap_10076,43.8733,-104.1922,1466.0,-12.499689479259628,3.0
isomap_1009100,54.678899999999999,13.434200000000001,42.0,-8.8104136908717336,10.0
isomap_1011300,53.712200000000003,7.1519000000000004,11.0,-7.1644658999932735,12.0
isomap_1013100,53.871299999999998,8.7058,5.0,-7.1809663214541128,35.0
isomap_1018400,54.096699999999998,13.4056,2.0,-8.5353841878484769,10.0
isomap_1026100,52.891100000000002,11.7294,21.0,-8.0368803685344012,16.0
isomap_1028000,53.548299999999998,13.193099999999999,81.0,-8.6628896660084642,4.0
isomap_1032500,52.104199999999999,8.7518999999999991,135.0,-7.7946096252047781,34.0
isomap_1034800,52.291400000000003,10.446400000000001,81.0,-7.2655632522459817,35.0
isomap_1038400,52.467199999999998,13.401899999999999,48.0,-7.9136965339350596,35.0
isomap_1040600,51.829999999999998,6.25,43.0,-7.29761870534732,34.0
isomap_1042700,51.18,8.4888999999999992,839.0,-8.997042720393484,15.0
isomap_1046000,51.374400000000001,11.2919,164.0,-8.2716603403371884,16.0
isomap_1046900,51.350000000000001,12.43,125.0,-8.4227468841086512,18.0
isomap_1048800,51.049999999999997,13.73,113.0,-8.6307114828227238,3.0
isomap_1049900,51.162199999999999,14.9506,238.0,-8.4884851889880917,16.0
isomap_1049901,50.899999999999999,14.800000000000001,240.0,-8.319613450162624,2.0
isomap_1051500,50.338099999999997,7.5999999999999996,85.0,-6.9160288733793838,33.0
isomap_1054400,50.497199999999999,9.9428000000000001,921.0,-9.4835513537223548,36.0
isomap_1058200,50.731099999999998,13.7514,877.0,-9.5814615901176658,13.0
isomap_1060900,49.747799999999998,6.6581000000000001,265.0,-7.3932744945509263,36.0
isomap_1065500,49.770299999999999,9.9578000000000007,268.0,-7.9735317629328666,36.0
isomap_1068500,50.311900000000001,11.8758,565.0,-8.6571972179184815,31.0
isomap_1072700,49.039200000000001,8.3650000000000002,112.0,-7.8957657029045993,33.0
isomap_1073900,48.828099999999999,9.1999999999999993,314.0,-8.0233002042743085,45.0
isomap_1077600,49.042200000000001,12.101900000000001,365.0,-8.9519466059841513,36.0
isomap_1086,44.564722199999999,-123.26083,76.0,-8.824961371911046,11.0
isomap_1086801,44.219999999999999,11.59,489.0,-10.619605950445379,14.0
isomap_1087,44.637,-124.053,45.0,-6.7401676505039916,7.0
isomap_1088,25.163799999999998,121.47499999999999,365.0,-4.6441983731219167,1.0
isomap_1089300,48.545000000000002,13.3528,476.0,-9.3058075351520504,16.0
isomap_1090,34.164790000000004,-118.12479999999999,289.0,-6.6555260405764427,3.0
isomap_1090800,47.874699999999997,8.0036000000000005,1490.0,-8.7012286853264218,3.0
isomap_1090801,47.595833329999998,7.5944444439999996,249.0,-8.3776192317056815,31.0
isomap_1091,41.059167000000002,-100.74638899999999,919.0,-8.7382858031795312,4.0
isomap_1092,40.806389000000003,-104.754722,1641.0,-10.20835538757745,5.0
isomap_1092900,47.677199999999999,9.1899999999999995,443.0,-9.4342456641526891,36.0
isomap_1094,41.153055999999999,-96.492778000000001,352.0,-7.7460321911711914,3.0
isomap_1096200,47.800800000000002,11.0108,977.0,-10.717678705258628,33.0
isomap_1096300,47.482799999999997,11.062200000000001,719.0,-10.727646352964973,36.0
isomap_1103500,48.248611109999999,16.356388890000002,198.0,-9.4862918649744952,52.0
isomap_1123101,46.64833333,14.31833333,450.0,-10.119390444878576,30.0
isomap_1126501,46.603055560000001,13.671388889999999,2156.0,-10.872573716783902,30.0
isomap_1129001,47.077777779999998,15.448888889999999,366.0,-9.2290701250671532,30.0
isomap_1137901,48.149999999999999,15.15,252.0,-9.014045316861047,5.0
isomap_1159,25.519007999999999,-80.491375000000005,3.0,-3.6108129493065571,2.0
isomap_1160,25.732500000000002,-80.163235999999998,3.0,-2.2143000085860414,3.0
isomap_1160301,50.832500000000003,15.14777778,823.0,-10.072878462262425,7.0
isomap_1161,25.464117000000002,-80.334603000000001,2.0,-3.3501915516173981,1.0
isomap_1163,25.837368999999999,-80.800803000000002,2.0,-2.4278113873114506,1.0
isomap_1165,41.992199999999997,-93.621700000000004,291.0,-6.4619042766243631,2.0
isomap_1166,42.527999999999999,-92.444999999999993,268.0,-6.1095985975733988,1.0
isomap_1167,41.632800000000003,-91.543099999999995,198.0,-5.5574963274693099,1.0
isomap_1168,45.991100000000003,-112.5458,1653.0,-15.891621069071059,1.0
isomap_1169,37.700277999999997,-113.085556,1714.0,-12.374842120757581,2.0
isomap_1170,40.885556000000001,-117.800833,1312.0,-11.813519424441566,1.0
isomap_1173,-33.457949999999997,150.17124000000001,966.0,-5.4380629232532263,2.0
isomap_1174,-34.565300000000001,149.99707000000001,652.0,-5.7290324762299489,2.0
